Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.2.1 (lin64) Build 2729669 Thu Dec  5 04:48:12 MST 2019
| Date         : Fri Jan 12 15:14:30 2024
| Host         : james-HP-245-G8-Notebook-PC running 64-bit Ubuntu 23.04
| Command      : report_utilization -hierarchical -hierarchical_depth 6 -file /home/james/Documents/IIS/FPGA/Cryto/ClassicMceliehw_FPGA/test/ClassicMceliehw_FPGA/build/results/encap_utilization_hierarchical_artix7_100t_Artycs324g_32.txt
| Design       : encap_tb
| Device       : 7a100tcsg324-1
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------+-------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
|            Instance           |                Module               | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|         (state_ram_instance)  |                           state_ram |          7 |          7 |       0 |    0 |  61 |      0 |      0 |            0 |
|         ram_generator[0].ram  |                  stateram_inference |         34 |         18 |      16 |    0 |   2 |      0 |      0 |            0 |
|         ram_generator[10].ram |  stateram_inference__parameterized9 |         46 |         30 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[11].ram | stateram_inference__parameterized10 |         45 |         29 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[12].ram | stateram_inference__parameterized11 |         56 |         40 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[13].ram | stateram_inference__parameterized12 |         43 |         27 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[14].ram | stateram_inference__parameterized13 |         26 |         10 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[15].ram | stateram_inference__parameterized14 |         77 |         61 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[16].ram | stateram_inference__parameterized15 |         57 |         41 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[17].ram | stateram_inference__parameterized16 |         34 |         18 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[18].ram | stateram_inference__parameterized17 |         36 |         20 |      16 |    0 |   2 |      0 |      0 |            0 |
|         ram_generator[19].ram | stateram_inference__parameterized18 |         62 |         46 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[1].ram  |  stateram_inference__parameterized0 |         33 |         17 |      16 |    0 |   1 |      0 |      0 |            0 |
|         ram_generator[20].ram | stateram_inference__parameterized19 |         63 |         47 |      16 |    0 |   2 |      0 |      0 |            0 |
|         ram_generator[21].ram | stateram_inference__parameterized20 |         43 |         27 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[22].ram | stateram_inference__parameterized21 |         49 |         33 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[23].ram | stateram_inference__parameterized22 |         60 |         44 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[24].ram | stateram_inference__parameterized23 |         32 |         16 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[2].ram  |  stateram_inference__parameterized1 |         44 |         28 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[3].ram  |  stateram_inference__parameterized2 |         52 |         36 |      16 |    0 |   5 |      0 |      0 |            0 |
|         ram_generator[4].ram  |  stateram_inference__parameterized3 |         51 |         35 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[5].ram  |  stateram_inference__parameterized4 |         63 |         47 |      16 |    0 |   2 |      0 |      0 |            0 |
|         ram_generator[6].ram  |  stateram_inference__parameterized5 |         29 |         13 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[7].ram  |  stateram_inference__parameterized6 |         57 |         41 |      16 |    0 |   0 |      0 |      0 |            0 |
|         ram_generator[8].ram  |  stateram_inference__parameterized7 |         36 |         20 |      16 |    0 |   1 |      0 |      0 |            0 |
|         ram_generator[9].ram  |  stateram_inference__parameterized8 |         27 |         11 |      16 |    0 |   2 |      0 |      0 |            0 |
|       transform_calc          |                           transform |          0 |          0 |       0 |    0 |   5 |      0 |      0 |            0 |
+-------------------------------+-------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


